ID,Business (DM),Website,Account Industry Vertical,P&L Region
4085,Alstom Brasil Energia e Transporte,https://www.alstom.com/pt/alstom-no-brasil,,Americas
4057,Altamira Asset Management,https://www.altamirainmuebles.com/,,Southern Europe
2178,ALTANA,http://www.altana.com/,,Northern and Central Europe
2052,Altom Transport,http://www.altomtransport.com/,,Americas
2104,Altran,http://www.altran.fr/,Consumer Industries & Retail,Southern Europe
3060,Alubar,https://www.alubar.net.br/,Manufacturing,Americas
4736,Alvarez & Marsal,https://www.alvarezandmarsal.com/,Consumer Industries & Retail,Americas
4387,Amazon Data Services Ireland,N/A,Consumer Industries & Retail,UKIIMEA
4086,Amazon.com,https://www.amazon.com/,,Americas
3276,Ambassador Hotel,https://www.ambatel.com,Travel & Transportation,Asia
4609,Amcol International (Minerals Technologies),https://www.mineralstech.com,Energy,Americas
4450,Amcor Limited (Consumer & Retail),https://www.amcor.com/,Consumer Industries & Retail,Northern and Central Europe
176,Amcor Switzerland Holdings,http://www.amcor.com/,Manufacturing,Northern and Central Europe
3835,Amdocs,https://www.amdocs.com/,CME & Tech,UKIIMEA
4087,Amdocs (US),https://www.amdocs.com/,,Americas
3836,America Movil,https://www.americamovil.com/English/overview/default.aspx,,Americas
2668,American Agricultural Insurance Agency (AAIC),https://www.aaic.com/,,Americas
89,American Airlines Group Inc.,http://www.aa.com/,Travel & Transportation,Americas
2542,American Association of Retired Persons,http://www.aarp.org/,Insurance,Americas
476,American Automobile Association,http://www.aaa.com/,Travel & Transportation,Americas
2658,"American Automobile Association (Northern California, Nevada and Utah)",https://calstate.aaa.com/,,Americas
1891,American Axle & Manufacturing,http://www.aam.com/,Manufacturing,Americas
2053,American Chrome,http://www.americanchrome.com/,,Americas
5063,American Commercial Lines,https://www.bargeacbl.com/,Travel & Transportation,Americas
5064,American Contractors Insurance Group,https://www.acig.com/,Insurance,Americas
4088,American Credit Acceptance,https://www.americancreditacceptance.com/,,Americas
391,American Express,https://www.americanexpress.com/,,Americas
2960,American Honda Motor Company,https://www.honda.com/,Manufacturing,Americas
2669,American Income Life Insurance Company,https://www.ailife.com/,Insurance,Americas
498,American International Group (AIG),https://www.aig.com/,Insurance,Americas
3837,American International Group (Shinsuna DC),https://www.aig.com/worldwide,,Asia
4089,American National Insurance,https://www.americannational.com/,,Americas
5065,American Seafoods Group LLC,https://www.americanseafoods.com/,Consumer Industries & Retail,Americas
4090,American United Mutual Insurance Holding,http://N/A,,Americas
2671,Ameriprise Financial,https://www.ameriprise.com/,,Americas
4091,Ametek,https://www.ametek.com/,,Americas
4524,Ametek (Energy & Process Instruments),https://www.ametek.com/,Manufacturing,Americas
4523,Ametek (IFI),https://www.ametek.com/,Manufacturing,Americas
4674,Ametek (O'Brien),https://www.ametek.com/products/businessunits/processandanalyticalinstruments/obrien,Manufacturing,Americas
4698,Ametek (PPD),https://www.powerandtest.com/,Manufacturing,Americas
4521,Ametek (Shared Services Center),https://www.ametek.com/,Manufacturing,Americas
4847,Ametek Creaform,https://www.creaform3d.com/en,,Americas
4859,AMETEK Oil & Gas,https://www.ametekoilandgas.com/,,Americas
1779,Amey,http://www.amey.co.uk/,Travel & Transportation,UKIIMEA
2124,Amgen,http://www.amgen.com/,Healthcare & Life Sciences,Americas
4645,AMI Kids,http://www.amikids.org/,Public Sector,Americas
3282,Amlak Finance,http://www.amlakfinance.com/,Banking & Capital Markets,UKIIMEA
2536,AMP Limited,http://www.amp.com.au/,Insurance,ANZ
2277,Amplexor,http://www.amplexor.com/,CME & Tech,Southern Europe
2374,AmRest,https://www.amrest.eu/,Consumer Industries & Retail,Northern and Central Europe
2385,ANA Cargo Inc.,http://www.anacargo.jp/,Travel & Transportation,Asia
5071,"ANA Systems Co., Ltd.",http://www.anasystems.co.jp/,Travel & Transportation,Asia
4092,Anadarko Petroleum Corporation,https://www.oxy.com/Pages/default.aspx,,Americas
4710,Anchor Industries,https://anchorinc.com/,Consumer Industries & Retail,Americas
3078,Ancile Solutions,https://www.ancile.com/,CME & Tech,Americas
4601,Ancra International,https://www.ancracargo.com/,Consumer Industries & Retail,Americas
3232,Andeavor,http://andeavor.com/,Energy,Americas
1840,Andhra Bank,http://andhrabank.in/,Banking & Capital Markets,Asia
4595,Anglian Water,https://www.anglianwater.co.uk/,Energy,UKIIMEA
5366,ANGLO AMERICAN (Chile),https://chile.angloamerican.com/es-ES,Energy,Americas
472,Anheuser-Busch,http://www.anheuser-busch.com/,Consumer Industries & Retail,Americas
3002,Animal Health Institute,https://ahi.org/,,Americas
4737,Anne Arundel County Public Safety,https://www.aacounty.org/,Public Sector,Americas
3758,ANPAL (Agenzia Nazionale Politiche Attive del Lavoro),https://www.anpal.gov.it/,Public Sector,Southern Europe
3171,Ansaldo Energia,https://www.ansaldoenergia.com/,Manufacturing,Southern Europe
4538,Anthem Properties,https://anthemproperties.com/,Consumer Industries & Retail,Americas
311,Antibioticos,http://www.antibioticos-sa.com/,Healthcare & Life Sciences,Southern Europe
2135,ANZ Bank New Zealand,https://www.anz.com/,Banking & Capital Markets,ANZ
2672,Aol.,https://www.aol.com/,CME & Tech,Americas
2896,Aon (MPC),http://www.aon.com/,Healthcare & Life Sciences,UKIIMEA
6,Aon (UK),http://www.aon.com/,Insurance,UKIIMEA
1968,Aon (US),http://www.aon.com/,Insurance,Americas
3979,AON Risk Services Australia,https://www.aon.com.au/australia/default.jsp,,ANZ
2590,Aperam,http://www.aperam.com/,Energy,Americas
2784,Aperam (Luxembourg),http://www.aperam.com/,Energy,Southern Europe
5386,APICIL GESTION,https://mon.apicil.com/,Insurance,Northern and Central Europe
201,APL (Neptune Orient Lines),http://www.apl.com/,Travel & Transportation,Asia
2398,APL Logistics,http://www.apllogistics.com/,Travel & Transportation,Asia
5302,Apollo Global Management,https://www.apollo.com,Banking & Capital Markets,Americas
3473,Apollo Hospitals,https://www.apollohospitals.com,Healthcare & Life Sciences,Asia
3676,Apple,https://www.apple.com/ie/,CME & Tech,UKIIMEA
2854,Applus Bilsyn,https://www.applusbilsyn.dk/,Manufacturing,Northern and Central Europe
35,Aptiv,https://www.aptiv.com/,Manufacturing,UKIIMEA
4803,Arab Monetary Fund,https://www.amf.org.ae/en,Banking & Capital Markets,UKIIMEA
3334,ArabTec,https://www.arabtecuae.com/,Manufacturing,UKIIMEA
3261,Arago,https://arago.co/,CME & Tech,Americas
3572,Aragonesa de Servicios Telematicos,https://ast.aragon.es/aragonesa-de-servicios-telematicos,Public Sector,Southern Europe
473,Aramark,http://www.aramark.com/,Consumer Industries & Retail,Americas
165,Arauco,http://www.arauco.cl/,Travel & Transportation,Americas
3382,Arbejdsmarkedets Tillaegspension (ATP) ,https://www.atp.dk/en,Public Sector,Northern and Central Europe
614,Arca Continental,http://www.arcacontal.com/,,Americas
2785,Arcadis,https://www.arcadis.com/,CME & Tech,Northern and Central Europe
4500,Arcadis US,https://www.arcadis.com/en/united-states/,Travel & Transportation,Americas
2567,Arcares,https://arcares.lutech-group.com/,,Southern Europe
448,ArcelorMittal,http://www.arcelormittal.com/,Manufacturing,Northern and Central Europe
4790,Arcelormittal Luxembourg,https://luxembourg.arcelormittal.com/,Manufacturing,Southern Europe
3111,ArcelorMittal USA,http://www.usa.arcelormittal.com/,Manufacturing,Americas
5066,Arch Capital Group,https://www.archcapgroup.com/,Insurance,Americas
73,Arcos Dorados,http://www.arcosdorados.com/,Consumer Industries & Retail,Americas
4093,Arctic Information Technology,https://arcticit.com/,,Americas
125,Argenta,https://www.argenta.be,Banking & Capital Markets,Southern Europe
2869,Aria Systems,https://www.ariasystems.com/,,Americas
474,Aritzia,http://www.aritzia.com/,Consumer Industries & Retail,Americas
